SKU,Product,Location,Unit Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted
1091,AUTOMATIC HAND DRYER,BILAL TRADERS LH,4480,4,12800,17920,5120,0,0,0
1092,BALL COCK (COMMODE),BILAL TRADERS LH,120,10,900,1200,300,12,0,0
1093,"BALL COCK 1"" SHAHID",BILAL TRADERS LH,460,59,22479,27140,4661,0,0,0
1094,"BALL COCK 1/2"" SHAHID",BILAL TRADERS LH,348.75,42,12726,14647.5,1921.5,18,0,0
1095,"BALL COCK 3/4"" SHAHID",BILAL TRADERS LH,386.25,24,8040,9270,1230,18,0,0
1096,BALL VALVE UNION 25 MM,BILAL TRADERS LH,820,10,6700,8200,1500,0,0,0
1097,BALL VALVE UNION 32 MM,BILAL TRADERS LH,820,10,6700,8200,1500,0,0,0
1098,BASIN MIXTURE NEELAM,BILAL TRADERS LH,1780,13,20800,23140,2340,2,0,0
1099,BASIN MIXTURE VIVA,BILAL TRADERS LH,1700,1,1590,1700,110,0,0,0
1100,BASIN MIXTURE MASTER,BILAL TRADERS LH,1320,33,41920,43560,1640,17,0,0
1101,BASIN MIXTURE S. ASIA,BILAL TRADERS LH,1080,18,16480,19440,2960,0,0,0
1102,BASIN MIXTURE P. ASIA,BILAL TRADERS LH,1500,11,11770,16500,4730,0,0,0
1104,BASIN MIXTURE FAUCET,BILAL TRADERS LH,2310,2,3700,4620,920,0,0,0
1105,BASIN MIXTURE PEAK (COLOR),BILAL TRADERS LH,500,175,87500,87500,0,37,0,0
1106,BASIN MIXTURE PARAGON (COLOR),BILAL TRADERS LH,1018.75,65,51610,66218.75,14608.75,16,0,0
1107,BASIN MIXTURE TEHZEEB (COLOR),BILAL TRADERS LH,575,144,72524,82800,10276,37,0,0
1108,BASIN MIXTURE PEAK (CP),BILAL TRADERS LH,750,1,640,750,110,6,0,0
1109,BASIN MIXTURE CHINA,BILAL TRADERS LH,1400,8,9500,11200,1700,0,0,0
1110,BATH ACCESSARY SET ICON (CP AAM),BILAL TRADERS LH,810,22,13200,17820,4620,0,0,0
1111,BATH ACCESSORIES SET MORNING (COLOR),BILAL TRADERS LH,2400,16,35200,38400,3200,0,0,0
1112,BATH ACCESSORIES SET VIGO (COLOR),BILAL TRADERS LH,1800,37,57350,66600,9250,1,0,0
1114,BATH ACCESSORIES SET MASTER (COLOR),BILAL TRADERS LH,550,4,2000,2200,200,0,0,0
1115,BATH ACCESSORIES SET TAPSUN (COLOR),BILAL TRADERS LH,360,119,44610,42840,-1770,133,0,0
1116,BATH ACCESSORIES SET (CP PROFESSIONAL),BILAL TRADERS LH,1920,0,0,0,0,3,0,0
1117,BATH ACCESSORIES SET ICON (CP BHARI),BILAL TRADERS LH,780,7,5250,5460,210,0,0,0
1118,BATH ACCESSORIES SET TAPSUN (CP BHARI),BILAL TRADERS LH,1380,16,20000,22080,2080,0,0,0
1119,BATH ACCESSORIES SET (CP KING),BILAL TRADERS LH,2160,2,4000,4320,320,0,0,0
1120,BATH ACCESSORIES SET TAPSUN (CP AAM),,720,0,,0,0,0,0,0
1121,BATH ACCESSORIES SET (CP VICTORIA),BILAL TRADERS LH,2250,14,27700,31500,3800,0,0,0
1122,BIB COCK NEELAM,BILAL TRADERS LH,684,136,76760,93024,16264,35,0,0
1123,BIB COCK VIVA,BILAL TRADERS LH,530,4,2108,2120,12,0,0,0
1124,BIB COCK MASTER,BILAL TRADERS LH,510,187,77790,95370,17580,166,0,0
1125,BIB COCK S. ASIA,BILAL TRADERS LH,415,360,104250,149400,45150,42,0,0
1126,BIB COCK ILMAS,BILAL TRADERS LH,850,12,7800,10200,2400,0,0,0
1127,BIB COCK PARAGON (ABS COLOR),BILAL TRADERS LH,190,246,50430,46740,-3690,158,0,0
1128,BIB COCK PEAK (COLOR),BILAL TRADERS LH,140,122,15860,17080,1220,260,0,0
1129,BIB COCK TEHZEEB (COLOR),BILAL TRADERS LH,160,822,108720,131520,22800,400,0,0
1130,BIB COCK PEAK (BRASS BUSH COLOR),BILAL TRADERS LH,150,103,14935,15450,515,60,0,0
1131,BIB COCK UROOJ (COLOR),BILAL TRADERS LH,135,1,105,135,30,0,0,0
1132,BIB COCK PEAK (CP),BILAL TRADERS LH,165,28,4200,4620,420,72,0,0
1133,BIB COCK PARAGON (KS COLOR),BILAL TRADERS LH,260,52,11440,13520,2080,0,0,0
1134,BIB COCK (PLASTIC SPANDLE COLOR),BILAL TRADERS LH,40,330,11550,13200,1650,48,0,0
1135,BIB COCK (PVC PAKISTANI COLOR),BILAL TRADERS LH,60,852,38340,51120,12780,216,0,0
1136,"BLACK TAPE 1.5""",BILAL TRADERS LH,75,162,11502,12150,648,0,0,0
1137,"BLACK TAPE 2""",BILAL TRADERS LH,90,42,3696,3780,84,0,0,0
1138,BOLT KIT BELLO,BILAL TRADERS LH,53,188,10984,9964,-1020,84,0,0
1139,BOLT KIT DELUX,BILAL TRADERS LH,36,103,3296,3708,412,44,0,0
1140,BOLT KIT CAPTAN (BRASS NUT BHARI),BILAL TRADERS LH,120,124,12400,14880,2480,62,0,0
1141,BOLT KIT DELUX (BRASS NUT AAM),BILAL TRADERS LH,100,64,5248,6400,1152,32,0,0
1142,BOLT KIT (CARD MS),BILAL TRADERS LH,58,40,1920,2320,400,0,0,0
1143,BOLT KIT (CARD SS),BILAL TRADERS LH,108,161,14490,17388,2898,0,0,0
1144,CATCHER (CHORUS),BILAL TRADERS LH,6,732,3660,4392,732,0,0,0
1145,CATCHER (INDUS),BILAL TRADERS LH,6,738,3690,4428,738,0,0,0
1146,CATCHER (MASTER),BILAL TRADERS LH,6,1217,6085,7302,1217,10,0,0
1147,"CHAL NIPPLE 4""x1/2""",,240,0,,0,0,0,0,0
1148,"CHAL NIPPLE 4""x3/4""",,300,0,,0,0,0,0,0
1149,"CHAL NIPPLE 5""x1/2""",,360,0,,0,0,0,0,0
1150,"CHAL NIPPLE 5""x3/4""",BILAL TRADERS LH,360,1,300,360,60,0,0,0
1151,"CHAL NIPPLE 6""x1/2""",BILAL TRADERS LH,350,9,2592,3150,558,0,0,0
1152,"CHAL NIPPLE 6""x3/4""",BILAL TRADERS LH,435,5,1800,2175,375,0,0,0
1153,"CHECK VALVE KITZ (BHARI) 3/4""",BILAL TRADERS LH,350,12,3240,4200,960,0,0,0
1154,"CHECK VALVE RBS 1""",BILAL TRADERS LH,500,47,24910,23500,-1410,24,0,0
1155,"CHECK VALVE FLY 1""",BILAL TRADERS LH,660,15,9450,9900,450,10,0,0
1156,"CHECK VALVE KHALIL (KHARA) 1.5""",BILAL TRADERS LH,1600,3,4200,4800,600,0,0,0
1157,"CHECK VALVE KITZ (AAM) 1/2""",BILAL TRADERS LH,240,24,4320,5760,1440,0,0,0
1158,"CHECK VALVE FLY 1/2""",BILAL TRADERS LH,390,87,33060,33930,870,0,0,0
1159,"CHECK VALVE  RBS 1/2""",BILAL TRADERS LH,285,184,45448,52440,6992,14,0,0
1160,"CHECK VALVE KHALIL 2.5""",BILAL TRADERS LH,2000,1,1800,2000,200,0,0,0
1161,"CHECK VALVE KHALIL 3""",BILAL TRADERS LH,2500,3,6600,7500,900,0,0,0
1162,"CHECK VALVE FLY 3/4""",BILAL TRADERS LH,480,37,16280,17760,1480,20,0,0
1163,"CHECK VALVE RBS 3/4""",BILAL TRADERS LH,337.5,96,28128,32400,4272,49,0,0
1164,"CHECK VALVE KHALIL (KHARA) 3/4""",BILAL TRADERS LH,500,27,11664,13500,1836,12,0,0
1165,"CHECK VALVE KHALIL (KHARA AAM) 1""",BILAL TRADERS LH,570,54,27810,30780,2970,0,0,0
1166,"CHECK VALVE KHALIL (KHARA) 1""",BILAL TRADERS LH,730,33,23100,24090,990,10,0,0
1167,"CHECK VALVE KHALIL (KHARA) 1.25""",BILAL TRADERS LH,1000,1,775,1000,225,0,0,0
1168,"CHECK VALVE KHALIL (KHARA) 1/2""",,355,0,,0,0,0,0,0
1169,"CHINA COCK 1/4""",BILAL TRADERS LH,80,204,8976,16320,7344,504,0,0
1170,CHUTKI NUT,BILAL TRADERS LH,650,4 BG,2880,2600,-280,2 BG,0 BG,0 BG
1171,FLOOR WASTE CLASSIC (COLOR),BILAL TRADERS LH,45,2011,76418,90495,14077,240,0,0
1172,"MIXTURE TUBE (CHABI COLOR) 18""",BILAL TRADERS LH,84,221,15470,18564,3094,0,0,0
1173,"MIXTURE TUBE (CHABI COLOR) 24""",BILAL TRADERS LH,90,569,44175,51210,7035,0,0,0
1174,"MIXTURE TUBE (CHABI COLOR) 36""",BILAL TRADERS LH,105,154,13244,16170,2926,0,0,0
1175,COLOR TUBE 1.25 METER MORNING (COLOR),BILAL TRADERS LH,225,198,42980,44550,1570,32,0,0
1176,COLOR TUBE 1.5 METER MORNING (COLOR),BILAL TRADERS LH,250,209,50850,52250,1400,44,0,0
1177,COLOR TUBE 1 METER MORNING (COLOR),BILAL TRADERS LH,185,443,94570,81955,-12615,287,0,0
1178,"COMMODE HANDLE 10""",BILAL TRADERS LH,260,58,12940,15080,2140,12,0,0
1179,"COMMODE HANDLE 12""",BILAL TRADERS LH,280,35,9100,9800,700,6,0,0
1180,"COMMODE HANDLE 8""",BILAL TRADERS LH,240,0,,0,0,0,0,0
1181,COMMODE KIT (CARD MS),BILAL TRADERS LH,27,116,3248,3132,-116,91,0,0
1182,COMMODE SEAT COVER IFO,BILAL TRADERS LH,420,125,43750,52500,8750,0,0,0
1183,COMMODE SEAT COVER AQUA,BILAL TRADERS LH,800,61,36600,48800,12200,0,0,0
1184,COMMODE SEAT COVER VIP PORTA,BILAL TRADERS LH,800,97,57600,77600,20000,50,0,0
1185,COMPLETE BATH SET PARAGON (COLOR),BILAL TRADERS LH,3750,77,264250,288750,24500,21,0,0
1186,COMPLETE BATH SET BUNTY LEVER NEELAM,BILAL TRADERS LH,9300,4,28500,37200,8700,0,0,0
1187,COMPLETE BATH SET CLASSIC DRONE LEVER WONDER,BILAL TRADERS LH,9700,1,7500,9700,2200,1,0,0
1188,COMPLETE BATH SET CROWN (CP),BILAL TRADERS LH,6500,1,4650,6500,1850,0,0,0
1189,COMPLETE BATH SET GROHI (CP),BILAL TRADERS LH,7200,7,40950,50400,9450,3,0,0
1190,COMPLETE BATH SET CRYSTAL NEELAM (CP),BILAL TRADERS LH,10080,1,7200,10080,2880,1,0,0
1191,COMPLETE BATH SET CRYSTAL HEAVY VIVA,BILAL TRADERS LH,7600,1,5800,7600,1800,0,0,0
1192,COMPLETE BATH SET DIAMOND NEELAM (CP),,6850,0,,0,0,0,0,0
1193,COMPLETE BATH SET DIAMOND HEAD VIVA,BILAL TRADERS LH,6900,2,10500,13800,3300,0,0,0
1194,COMPLETE BATH SET DRONE NEELAM (CP),BILAL TRADERS LH,9100,1,7000,9100,2100,3,0,0
1195,COMPLETE BATH SET DRONE LEVER TAPSUN,BILAL TRADERS LH,8900,4,33760,35600,1840,5,0,0
1196,COMPLETE BATH SET DRONE LEVER SMALL TAPSUN,BILAL TRADERS LH,8500,2,13000,17000,4000,0,0,0
1197,COMPLETE BATH SET F-1,BILAL TRADERS LH,7700,1,5850,7700,1850,0,0,0
1198,COMPLETE BATH SET F-10,,15600,0,,0,0,0,0,0
1199,COMPLETE BATH SET F-16,,8450,0,,0,0,0,0,0
1200,COMPLETE BATH SET F-3,BILAL TRADERS LH,8900,1,6800,8900,2100,0,0,0
1201,COMPLETE BATH SET F-7,BILAL TRADERS LH,9800,0,0,0,0,1,0,0
1202,COMPLETE BATH SET FPH,BILAL TRADERS LH,6500,1,5000,6500,1500,0,0,0
1203,COMPLETE BATH SET FUH,,7050,0,,0,0,0,0,0
1204,COMPLETE BATH SET GREAT FULL DIAMOND PRIME LEVER (CP),,15000,0,,0,0,0,0,0
1205,COMPLETE BATH SET NEELAM LEVER CLASSIC,BILAL TRADERS LH,8500,2,13000,17000,4000,2,0,0
1206,COMPLETE BATH SET WONDER LEVER CLASSIC,BILAL TRADERS LH,9000,2,13600,18000,4400,1,0,0
1207,COMPLETE BATH SET NEELAM LEVER COCA F-9,BILAL TRADERS LH,9030,1,6450,9030,2580,5,0,0
1208,COMPLETE BATH SET NEELAM LEVER F-9,BILAL TRADERS LH,8820,5,31500,44100,12600,1,0,0
1209,COMPLETE BATH SET MASTER (MEDIUM COLOR),BILAL TRADERS LH,4800,32,136000,153600,17600,12,0,0
1210,COMPLETE BATH SET WONDER OCEAN LEVER DIAMOND,BILAL TRADERS LH,10000,5,55100,50000,-5100,0,0,0
1211,COMPLETE BATH SET GREAT SHAHEEN (CP),BILAL TRADERS LH,11500,1,8800,11500,2700,0,0,0
1212,COMPLETE BATH SET TAPSUN SIGMA GROHI,BILAL TRADERS LH,11000,3,25500,33000,7500,0,0,0
1213,COMPLETE BATH SET VIVA SONIC HEAD,BILAL TRADERS LH,8600,2,13200,17200,4000,0,0,0
1214,COMPLETE BATH SET TAPSUN SONICS HEAD QUEEN,BILAL TRADERS LH,8100,1,6000,8100,2100,0,0,0
1215,COMPLETE BATH SET NEELAM SUPER DRONE DIAMOND LEVER,BILAL TRADERS LH,13000,3,30000,39000,9000,1,0,0
1216,COMPLETE BATH SET TAPSUN SUPER DRONE DIAMOND LEVER,BILAL TRADERS LH,13500,2,20400,27000,6600,0,0,0
1217,COMPLETE BATH SET TAPSUN SUPER DRONE LEVER,BILAL TRADERS LH,12000,4,39400,48000,8600,1,0,0
1218,COMPLETE BATH SET PEL (COLOR),BILAL TRADERS LH,8800,1,6500,8800,2300,0,0,0
1219,COMPLETE BATH SET MASTER (ZERO SIZE COLOR),BILAL TRADERS LH,4200,43,165935,180600,14665,64,0,0
1220,COMPLETE MUSLIM SHOWER PARAGON (COLOR),BILAL TRADERS LH,400,4,1200,1600,400,0,0,0
1221,COMPLETE MUSLIM SHOWER MORNING (COLOR),BILAL TRADERS LH,450,550,241020,247500,6480,211,0,0
1222,COMPLETE MUSLIM SHOWER PEAK (CP),BILAL TRADERS LH,440,12,4560,5280,720,23,0,0
1223,COMPLETE MUSLIM SHOWER TAPSUN (COLOR),BILAL TRADERS LH,300,62,17360,18600,1240,0,0,0
1224,COMPLETE MUSLIM SHOWER VITAL (COLOR),BILAL TRADERS LH,240,43,10750,10320,-430,3,0,0
1225,COMPLETE MUSLIM SHOWER MORNING (CP),BILAL TRADERS LH,600,99,59400,59400,0,79,0,0
1226,COMPLETE MUSLIM SHOWER PEAK (VIP COLOR),BILAL TRADERS LH,320,396,118800,126720,7920,70,0,0
1227,"CONNECTION PIPE (STEEL NUT) 18""",BILAL TRADERS LH,80,172,10320,13760,3440,20,0,0
1228,"CONNECTION PIPE (STEEL NUT) 24""",BILAL TRADERS LH,90,93,6045,8370,2325,67,0,0
1229,COOLER TOTI LEVER,BILAL TRADERS LH,35,444,12348,15540,3192,300,0,0
1230,CORNER CABINET MORNING (COLOR),BILAL TRADERS LH,1450,21,24150,30450,6300,0,0,0
1231,"CORNER STEEL SHELF 10""",BILAL TRADERS LH,640,21,12600,13440,840,0,0,0
1232,"CORNER STEEL SHELF 12""",BILAL TRADERS LH,810,17,14075,13770,-305,0,0,0
1233,CP CHAIN 1.25 METER,BILAL TRADERS LH,225,2,370,450,80,4,0,0
1234,CP CHAIN 1.5 METER,BILAL TRADERS LH,250,0,0,0,0,1,0,0
1235,CP CHAIN 1 METER,BILAL TRADERS LH,185,2,280,370,90,1,0,0
1236,CP PIYALA CUP (SS),BILAL TRADERS LH,50,49 PR,1960,2450,490,12 PR,0 PR,0 PR
1237,CP JUMBO CUP (SS),BILAL TRADERS LH,100,16 PR,1312,1600,288,8 PR,0 PR,0 PR
1238,"CP NIPPLE 1"" (BHARI)",BILAL TRADERS LH,72,549,32940,39528,6588,330,0,0
1239,"CP NIPPLE 1.5"" (BHARI)",BILAL TRADERS LH,84,287,20328.21,24108,3779.79,324,0,0
1240,"CP NIPPLE 2"" (AAM)",BILAL TRADERS LH,65,428,23112,27820,4708,6,0,0
1241,"CP NIPPLE 2"" (AAM)",BILAL TRADERS LH,65,75,4050,4875,825,0,0,0
1242,"CP NIPPLE 2"" (BHARI)",BILAL TRADERS LH,90,96,7999.68,8640,640.32,228,0,0
1243,"CP NIPPLE 3"" (AAM)",BILAL TRADERS LH,118,48,4704,5664,960,0,0,0
1244,"CP NIPPLE 3"" (BHARI)",BILAL TRADERS LH,156,36,4480.08,5616,1135.92,48,0,0
1245,"CP NIPPLE 4"" (AAM)",BILAL TRADERS LH,145,88,10736,12760,2024,0,0,0
1246,"CP NIPPLE 4"" (BHARI)",BILAL TRADERS LH,209,131,20450.16,27379,6928.84,18,0,0
1247,"CP NIPPLE 6"" (BHARI)",BILAL TRADERS LH,274,24,4600.08,6576,1975.92,0,0,0
1248,CP PLATE (MS),BILAL TRADERS LH,66,38,2090,2508,418,14,0,0
1249,CP PLATE (SS),BILAL TRADERS LH,114,46,4370,5244,874,0,0,0
1250,CP PLATE (SS),BILAL TRADERS LH,215,46,7590,9890,2300,4,0,0
1251,FLOOR WASTE CRYSTAL ( COLOR),BILAL TRADERS LH,55,809,40450,44495,4045,260,0,0
1252,CRYSTAL JET SHOWER GOL (COLOR),BILAL TRADERS LH,126,227,23835,28602,4767,91,0,0
1253,D-SINK MIXTURE,BILAL TRADERS LH,4080,6,20100,24480,4380,0,0,0
1254,DHAGA (BARA),BILAL TRADERS LH,108,96,8760,10368,1608,40,0,0
1255,DHAGA (CHOTA),,150,0 BG,,0,0,0 BG,0 BG,0 BG
1256,DHAGA (JUMBO),BILAL TRADERS LH,220,11 BG,1540,2420,880,15 BG,0 BG,0 BG
1257,FLOOR WASTE DIAMOND (COLOR),BILAL TRADERS LH,65,663,36465,43095,6630,278,0,0
1258,DIVIDER IDREES,BILAL TRADERS LH,720,0,0,0,0,1,0,0
1259,DIVIDER TAPSUN,BILAL TRADERS LH,700,26,15080,18200,3120,11,0,0
1260,DIVIDER (BHARI) J.S,BILAL TRADERS LH,700,6,3480,4200,720,0,0,0
1261,DOUBLE BIB COCK NEELAM,BILAL TRADERS LH,1170,15,12720,17550,4830,8,0,0
1262,DOUBLE BIB COCK VIVA,BILAL TRADERS LH,1400,10,9600,14000,4400,0,0,0
1263,DOUBLE BIB COCK MASTER,BILAL TRADERS LH,830,17,12750,14110,1360,8,0,0
1264,DOUBLE BIB COCK S. ASIA,BILAL TRADERS LH,720,16,8000,11520,3520,0,0,0
1265,DOUBLE BIB COCK P. ASIA,BILAL TRADERS LH,910,14,9100,12740,3640,0,0,0
1266,DOUBLE BIB COCK WONDER,,1000,0,,0,0,0,0,0
1267,DOUBLE BIB COCK ASIA MIX,,870,0,,0,0,0,0,0
1268,DOUBLE BIB COCK BURAQ,BILAL TRADERS LH,870,4,2480,3480,1000,0,0,0
1269,DOUBLE BIB COCK (COLOR) PEAK,BILAL TRADERS LH,340,251,70280,85340,15060,17,0,0
1270,DOUBLE BIB COCK (COLOR) PARAGON,BILAL TRADERS LH,465,64,30360,29760,-600,14,0,0
1271,DOUBLE BIB COCK (COLOR)TEHZEEB,BILAL TRADERS LH,350,193,54040,67550,13510,14,0,0
1272,DOUBLE BIB COCK (CP) PEAK,BILAL TRADERS LH,450,37,12580,16650,4070,9,0,0
1273,DOUBLE CHAND SARI (BRASS),BILAL TRADERS LH,45,125,4375,5625,1250,0,0,0
1274,DOUBLE CHAND SARI (SS),BILAL TRADERS LH,40,274,8768,10960,2192,0,0,0
